Sku,"System SKU",Size,Name,"Parent Sku",Cost,Rccp,Category,barcode,brand,"Selling Status","Promo Price","Extra Cost","Stock Status","Is Active",Channels,,,,
"0193968052935 indivisuals",,,"Member's Mark Total Protection Underpads for Men and Women 23x36 Large 15 Pads",,29.50,29.50,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
021200475658,,,"Post-it Notes Super Sticky, 4x6 in",,30.99,30.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
021331643568,,,"Altec Lansing IMW889 Super Lifejacket Jolt Heavy Duty Rugged and Waterproof Portable Bluetooth Speaker with Qi Wireless Charging, 30 Hours of Battery ",,149.99,149.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
021614053596,,,"Breville BSB510XL Control Grip Immersion Blender, Stainless Steel",,92.89,92.89,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
025700006190,,,"Ziploc Freezer Half gallon Freezer Grip N' Seal Technology Tabs 4 X 40 Bags Netcount 160 Bags, 160Count",,39.00,39.00,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
025700148753,,,"Ziploc Double Zipper Smart Zip Seal Multi-Purpose Storage Gallon - 208 Bags (4 x 52 Bags)",,26.90,26.90,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
025700148791,,,"Ziploc Double Zipper Quart Freezer Bags, 216 Count",,22.23,22.23,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
025700148876,,,"Ziploc Double Zipper Freezer Gallon Bags, Total: 152 Bags (4 X 38 Count)",,38.00,38.00,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
027242907553-Used_LN,,,"Sony WHH900N Hear On 2 Wireless Overear Noise Cancelling High Resolution Headphones, 2.4 Ounce",,94.99,94.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
028907541716,,,"CAT Multi Tool Set 2Pc with Storage Pouch",,24.49,24.49,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
028907541716Used,,,"CAT Multi Tool Set 2Pc with Storage Pouch",,14.99,14.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
032281234225,,,"Jay Franco & Sons Disney Frozen Body Pillow (ELSA Anna)",,49.99,49.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
032281234232,,,"Jay Franco & Sons Disney Frozen Body Pillow (Olaf, Elsa & Anna)",,49.99,49.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
032884196722,,,"Evenflo Exersaucer Wood Frame Jumper, Woodland Wonder",,155.00,155.00,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
