"Order create date","Order id","Order item id","Transaction date","Seller sku","Item status","Shipping amount","Paid price","Commissionamount Expected Commission (5%)","Transactionfee Expected Transaction Fee ( 2% )","Fblfee Expected Fbl Fee ( 2 MYR )","Expectedreceiveamount Paid Price - ( Commission + TransactionFee + FBL Fee )","Totalfeeses Sum of all feeses","Receivingdifference Expected Recieving - Total feeses","Shipping Fee Paid By Seller - Amount","Shipping Fee Paid By Seller - VAT In Amount","Commission - Amount","Commission - VAT In Amount","Item Price Credit - Amount","Item Price Credit - VAT In Amount","Payment Fee - Amount","Payment Fee - VAT In Amount","Shipping Fee (Paid By Customer) - Amount","Shipping Fee (Paid By Customer) - VAT In Amount","Promotional Charges Vouchers - Amount","Promotional Charges Vouchers - VAT In Amount","FBL Handling Fee - Amount","FBL Handling Fee - VAT In Amount","Reversal Commission - Amount","Reversal Commission - VAT In Amount","Payment Fee Credit - Amount","Payment Fee Credit - VAT In Amount","Reversal Item Price - Amount","Reversal Item Price - VAT In Amount","Promotional Charges Bundles - Amount","Promotional Charges Bundles - VAT In Amount","Lost Claim - Amount","Lost Claim - VAT In Amount","Payment Fee - Correction For Undercharge - Amount","Payment Fee - Correction For Undercharge - VAT In Amount","Commission Fee - Correction For Undercharge - Amount","Commission Fee - Correction For Undercharge - VAT In Amount","Other Debits (Returns) - Amount","Other Debits (Returns) - VAT In Amount","Reversal Shipping Fee (Paid By Customer) - Amount","Reversal Shipping Fee (Paid By Customer) - VAT In Amount","Reversal Promotional Charges Vouchers - Amount","Reversal Promotional Charges Vouchers - VAT In Amount","FBL Handling Fee Refund - Correction For Overcharge - Amount","FBL Handling Fee Refund - Correction For Overcha - VAT In Amount","Crossbroder Shipping Fee Refund - correction For Overc - Amount","Crossbroder Shipping Fee Refund - correction Fo - VAT In Amount","Shipping Fee (Charged By 3P) - Amount","Shipping Fee (Charged By 3P) - VAT In Amount","Shipping Fee - Correction For Undercharge - Amount","Shipping Fee - Correction For Undercharge - VAT In Amount","Commission Rebate - Amount","Commission Rebate - VAT In Amount","Adjustments Claim - Amount","Adjustments Claim - VAT In Amount","Shipping Fee Refund - Correction For Overcharge - Amount","Shipping Fee Refund - Correction For Overcharge - VAT In Amount","Promotional Charges Flexi-Combo - Amount","Promotional Charges Flexi-Combo - VAT In Amount","Shipping Fee Voucher (by Lazada) - Amount","Shipping Fee Voucher (by Lazada) - VAT In Amount","Damaged Claim - Amount","Damaged Claim - VAT In Amount","Reversal Promotional Charges Flexi-Combo - Amount","Reversal Promotional Charges Flexi-Combo - VAT In Amount","Seller Funded Marketing Voucher - Amount","Seller Funded Marketing Voucher - VAT In Amount"
"2019-02-08 16:14:02",215664591233972,215664591433972,2019-02-09,HP8108/03,Delivered,3.80,35.00,1.75,0.70,2.00,30.55,30.7,0.15,-3.80,0.00,-1.86,0.11,35.00,0.00,-0.74,0.04,3.80,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 01:06:10",215643507289513,215643507589513,2019-02-09,AT600/15,Delivered,4.50,88.00,4.40,1.76,2.00,79.84,79.77,-0.07,-4.50,0.00,-4.66,0.26,88.00,0.00,-1.87,0.11,4.50,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 15:20:23",215666503325873,215666504525873,2019-02-09,HP8108/03,Delivered,3.80,35.00,1.75,0.70,2.00,30.55,30.7,0.15,-3.80,0.00,-1.86,0.11,35.00,0.00,-0.74,0.04,3.80,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 03:51:57",215419253338190,215419253538190,2019-02-09,HP8316/00,Delivered,4.50,129.00,6.45,2.58,2.00,117.97,117.73,-0.24,-4.50,0.00,-6.84,0.39,129.00,0.00,-2.73,0.15,4.50,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 17:21:04",215669752188875,215669752388875,2019-02-09,HP8230/03,Delivered,4.50,79.00,3.95,1.58,2.00,71.47,71.44,-0.03,-4.50,0.00,-4.19,0.24,79.00,0.00,-1.67,0.09,4.50,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 15:30:21",215663152714467,215663152914467,2019-02-09,HP8230/03,Delivered,4.20,79.00,3.95,1.58,2.00,71.47,71.44,-0.03,-4.20,0.00,-4.19,0.24,79.00,0.00,-1.67,0.09,4.20,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 09:35:09",215646553026418,215646553226418,2019-02-09,MG7730/15,Delivered,4.50,214.14,10.71,4.28,2.00,197.15,196.55,-0.60,-4.50,0.00,-11.35,0.64,249.00,0.00,-4.54,0.26,4.50,0.00,-34.86,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 14:39:11",215439232815980,215439233015980,2019-02-09,MG7730/15,Delivered,4.50,214.14,10.71,4.28,2.00,197.15,196.55,-0.60,-4.50,0.00,-11.35,0.64,249.00,0.00,-4.54,0.26,4.50,0.00,-34.86,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 22:52:28",215455470103659,215455470503659,2019-02-09,BG1024/16,Delivered,7.50,71.38,3.57,1.43,2.00,64.38,64.88,0.50,-7.00,0.00,-3.78,0.21,83.00,0.00,-1.52,0.09,7.50,0.00,-11.62,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 15:15:18",215440630701373,215440630901373,2019-02-09,HP8108/03,Delivered,4.50,35.00,1.75,0.70,2.00,30.55,30.7,0.15,-4.50,0.00,-1.86,0.11,35.00,0.00,-0.74,0.04,4.50,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 15:52:12",215442432706753,215442432906753,2019-02-10,MG7730/15,Delivered,4.50,214.14,10.71,4.28,2.00,197.15,196.55,-0.60,-4.50,0.00,-11.35,0.64,249.00,0.00,-4.54,0.26,4.50,0.00,-34.86,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 00:14:42",215416430841386,215416431041386,2019-02-10,HD3038/03,Delivered,9.00,219.30,10.96,4.39,2.00,201.95,209.48,7.53,0.00,0.00,-11.63,0.66,255.00,0.00,-4.65,0.26,9.00,0.00,-35.70,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 16:11:20",215668106011951,215668106211951,2019-02-10,HR7759/91,Delivered,9.00,240.80,12.04,4.82,2.00,221.94,220.39,-1.55,-9.00,0.00,-12.76,0.72,280.00,0.00,-5.11,0.29,9.00,0.00,-39.20,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 23:23:29",215684360527360,215684360727360,2019-02-11,BT7201/15,Delivered,3.80,269.18,13.46,5.38,2.00,248.34,246.67,-1.67,-3.80,0.00,-14.27,0.81,313.00,0.00,-5.70,0.32,3.80,0.00,-43.82,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 15:28:55",215438096544432,215438096744432,2019-02-11,HX9362/67,Delivered,4.50,588.00,29.40,11.76,2.00,544.84,544.37,-0.47,-4.50,0.00,-31.16,1.76,588.00,0.00,-12.47,0.71,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 08:32:13",215421479564488,215421479764488,2019-02-11,BHD002/03,Delivered,3.80,58.00,2.90,1.16,2.00,51.94,52,0.06,-3.80,0.00,-3.07,0.17,58.00,0.00,-1.23,0.07,3.80,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 23:24:23",215458450136033,215458450336033,2019-02-11,HD9015/30,Delivered,8.00,323.36,16.17,6.47,2.00,298.72,287.72,-11.00,-17.10,0.00,-17.14,0.97,376.00,0.00,-6.86,0.39,8.00,0.00,-52.64,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 18:11:31",215673709878302,215673710078302,2019-02-11,HR1600/01,Delivered,4.00,78.00,3.90,1.56,2.00,70.54,71.72,1.18,-4.50,0.00,-4.13,0.23,78.00,0.00,-1.65,0.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 19:48:06",215449871545076,215449871745076,2019-02-11,S1070/05,Delivered,4.80,148.00,7.40,2.96,2.00,135.64,137.02,1.38,-4.80,0.00,-7.84,0.44,148.00,0.00,-3.14,0.18,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 12:38:11",215651396671935,215651396871935,2019-02-11,HP8108/03,Delivered,3.80,35.00,1.75,0.70,2.00,30.55,30.7,0.15,-3.80,0.00,-1.86,0.11,35.00,0.00,-0.74,0.04,3.80,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 14:27:47",215661346426718,215661346626718,2019-02-11,AT600/15,Delivered,4.00,88.00,4.40,1.76,2.00,79.84,81.47,1.63,-4.00,0.00,-4.66,0.26,88.00,0.00,-1.87,0.11,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 09:13:10",215648504980034,215648505580034,2019-02-11,HP8301/03,Delivered,4.50,89.00,4.45,1.78,2.00,80.77,79.85,-0.92,-4.50,0.00,-4.72,0.27,89.00,0.00,-1.89,0.11,4.50,0.00,0.00,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 20:24:54",215679905445780,215679905645780,2019-02-11,HD3132/60,Delivered,8.00,178.00,8.90,3.56,2.00,163.54,162.26,-1.28,-8.00,0.00,-9.43,0.53,178.00,0.00,-3.77,0.21,8.00,0.00,0.00,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 10:36:13",215648359907708,215648360207708,2019-02-11,BT1214/15,Delivered,4.00,85.00,4.25,1.70,2.00,77.05,78.69,1.64,-4.00,0.00,-4.51,0.26,85.00,0.00,-1.80,0.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 10:36:13",215648359907708,215648360307708,2019-02-11,MG3730/15,Delivered,3.80,148.00,7.40,2.96,2.00,135.64,135.32,-0.32,-3.80,0.00,-7.84,0.44,148.00,0.00,-3.14,0.18,3.80,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 14:39:06",215662536898400,215662537298400,2019-02-11,BHD002/03,Delivered,3.80,58.00,2.90,1.16,2.00,51.94,52,0.06,-3.80,0.00,-3.07,0.17,58.00,0.00,-1.23,0.07,3.80,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
